J,KT,KQ,KP,eta,T,Q,P_mech
0.1,0.20925098617318585,0.02784576502196948,0.17496010165321388,0.11959925960030562,10378.965969726809,4695.962775078292,703708.6628277057
0.18305084745762712,0.21547641710399218,0.02518426739178811,0.158237418848165,0.2492655722339995,10687.750826416786,4247.122752639331,636448.2037605419
0.26610169491525426,0.2162102186879339,0.023572385480926255,0.14810966610892926,0.3884547657311097,10724.147795470779,3975.291921442654,595713.2746525129
0.3491525423728814,0.21041615088259158,0.0225443738883189,0.14165047877464843,0.5186522112209148,10436.75879110945,3801.9260912194827,569733.7168046914
0.43220338983050854,0.19873467028988273,0.02211519093959402,0.13895384277712824,0.6181462596461121,9857.350819060975,3729.547862453986,558887.5519132849
0.5152542372881357,0.18809594777546232,0.02219249251152952,0.1394395428781353,0.6950484210403408,9329.664231017141,3742.584146570359,560841.090836647
0.5983050847457627,0.17204385010918133,0.021360515684638134,0.13421207830349743,0.76695563931878,8533.471207185119,3602.2779920895155,539815.6566317164
0.6813559322033899,0.14276168117396543,0.018830209434692012,0.11831369525117127,0.822149271499889,7081.059247478224,3175.5623335353253,475870.6213170345
0.764406779661017,0.1124286985422443,0.015747253999854004,0.09894291496030765,0.8685943751367422,5576.5263405968,2655.646865319519,397959.2245608101
0.8474576271186441,0.07919569699075844,0.01204985427010378,0.07571146730357127,0.8864574923728827,3928.1508730170453,2032.110342555902,304519.80144892086
0.9305084745762713,0.043753556397077065,0.007943819832459361,0.04991249205419046,0.8156886852319153,2170.2008731463634,1339.6608854425865,200753.5015695829
1.0135593220338985,0.006609543780733813,0.0037109286046892115,0.023316452084975698,0.28731492634210165,327.8370689200909,625.818057964824,93781.32021851804
1.0966101694915256,-0.03274541403054354,0.0006428499651870734,0.0040391454559843285,-8.890235427620572,-1624.1908537833092,108.4114408096574,16245.884752806001
1.1796610169491528,-0.07924531945183232,0.0012130236559567814,0.007621652412368915,-12.265399820818294,-3930.6121748452415,204.56661647357151,30655.11952134354
1.2627118644067798,-0.13595049194036557,0.007891938529352134,0.049586512212789806,-3.46195550936047,-6743.220451294996,1330.9115238099694,199442.37499767725
1.345762711864407,-0.19518378276455345,0.022106712497483885,0.13890057115423407,-1.8910725465161045,-9681.22481142908,3728.118041850801,558673.2876201158
1.4288135593220341,-0.2551678400603901,0.043923517120382775,0.27597959741044004,-1.3210660251778799,-12656.46760853763,7407.345468335887,1110020.1224526544
1.5118644067796612,-0.3205506634178305,0.07283062126842159,0.4576082894665076,-1.0590479887416795,-15899.492222385265,12282.294492268304,1840550.5851707102
1.5949152542372884,-0.3875909639676493,0.10378284149516886,0.6520868248197929,-0.9479945266604252,-19224.72863217185,17502.135781460875,2622764.5229141396
1.6779661016949154,-0.453057081354283,0.13284399327172475,0.8346834266719647,-0.910781741140394,-22471.884676462367,22403.063690460178,3357188.0246846327
1.7610169491525427,-0.5125811492783253,0.15582132430523804,0.979054255419937,-0.9219755562045424,-25424.311743410683,26278.004498116177,3937863.286584819
1.8440677966101697,-0.562878478382093,0.16921332254037003,1.0631986619646931,-0.9762861001642428,-27919.08740341209,28536.456551650244,4276301.291904494
1.927118644067797,-0.6048510565863027,0.17418882389639956,1.0944606589807502,-1.0650174937462702,-30000.950761908476,29375.534563578884,4402040.462776135
2.010169491525424,-0.6459567810342954,0.17791768138393824,1.1178897615590198,-1.1615479976024048,-32039.817689176292,30004.376182447617,4496274.87559836
2.093220338983051,-0.6870179867436874,0.18095720572729254,1.1369876562539982,-1.264815862502041,-34076.47646210562,30516.967348791037,4573088.696644632
2.1762711864406783,-0.7297042074988135,0.18381958284358604,1.1549725020947006,-1.3749541556392733,-36193.73689034092,30999.68406983444,4645425.713473809
2.2593220338983055,-0.7737035173832207,0.18665930114128185,1.1728149783793118,-1.4904698837868853,-38376.12727393399,31478.579564613166,4717190.104378575
2.3423728813559324,-0.8191604483424517,0.18963939489245948,1.191539459650729,-1.6103362789505686,-40630.816478235276,31981.148242856783,4792502.015798062
2.4254237288135596,-0.8663661679049081,0.1928259751583917,1.2115613339577826,-1.7343777839241092,-42972.246575533354,32518.5391996795,4873032.183892317
2.508474576271187,-0.9134848689545161,0.1954018202621381,1.2277458460672124,-1.8663908144514918,-45309.36050591578,32952.934617152045,4938128.061566303
