J,KT,KQ,KP,eta,T,Q,P_mech
0.1,0.047055301130093145,0.09363815081102574,0.5883458533673032,0.007997897981396431,3976.0180070177184,26901.192435538098,4031250.472799519
0.18305084745762712,0.048977614391852,0.10434901919886291,0.655644224248896,0.013674174940154639,4138.447148056498,29978.305013662637,4492368.007464439
0.26610169491525426,0.04958454569388697,0.11414570125869415,0.7171985930263375,0.018397319485903754,4189.730844642396,32792.78209419755,4914128.570263923
0.3491525423728814,0.04892230663881089,0.12331274345562244,0.7747968178683726,0.02204622856955048,4133.773825035758,35426.37069102863,5308782.275729761
0.43220338983050854,0.0469761459720476,0.13206562769888114,0.8297928115410593,0.024467854201563093,3969.3296567961925,37940.97634432786,5685605.914795488
0.5152542372881357,0.04364959108506999,0.14057660000107725,0.8832688276600303,0.025462957661552814,3688.246722157461,40386.08340519854,6052014.913905836
0.5983050847457627,0.03885468707714769,0.14895148918689483,0.9358898083416166,0.024839416603602314,3283.0931216159884,42792.09531020358,6412565.348718516
0.6813559322033899,0.03259264853803674,0.15726047552993017,0.988096709249732,0.022474717524839788,2753.971484006892,45179.17406626903,6770278.57600602
0.764406779661017,0.02477510782666017,0.165561939055428,1.0402563429012273,0.01820537843269844,2093.4150346263323,47564.09160107496,7127667.935708653
0.8474576271186441,0.01520943219867772,0.17384747898083264,1.0923159256225796,0.011800019590089627,1285.1469408572882,49944.43446384109,7484371.762646613
0.9305084745762713,0.006685049705551783,0.18211153374510972,1.1442405130952127,0.005436353050594994,564.8646883291079,52318.60488034473,7840150.624010141
1.0135593220338985,0.004473525643319948,0.18975615934128048,1.192273112319962,0.003802973975754491,377.99818693159915,54514.82023144941,8169262.212417439
1.0966101694915256,0.009412321938236034,0.19591359992885118,1.2309614525496173,0.008385029388710104,795.3102119314883,56283.78397883183,8434348.451999143
1.1796610169491528,0.02211047545052736,0.19967605779901063,1.2546016725582854,0.020789758634716504,1868.2623726489785,57364.69600367551,8596327.409684652
1.2627118644067798,0.04205795105869943,0.1997458071508513,1.255039920660956,0.04231504745003735,3553.7583807048486,57384.734211605384,8599330.214686139
1.345762711864407,0.06965062545313358,0.19495511938211535,1.2249391416611493,0.07652071144183442,5885.2485129374745,56008.42324808121,8393084.553430751
1.4288135593220341,0.10592452014175022,0.18407663635349802,1.1565876169313385,0.13085596666231417,8950.273175469447,52883.15686013038,7924750.979213143
1.5118644067796612,0.14388866177601203,0.17107453108936735,1.0748929801733502,0.20238307467895694,12158.118139450815,49147.79757817073,7364992.563018061
1.5949152542372884,0.17862340772785026,0.15865767816083773,0.9968755922914031,0.2857820975375203,15093.089801663216,45580.5747402458,6830430.060392015
1.6779661016949154,0.20851735510236347,0.14786704816098958,0.929076064421146,0.37659462650653963,17619.029923336162,42480.54754393315,6365878.679230284
1.7610169491525427,0.23325583821573637,0.13917177193139782,0.8744420325735072,0.4697481014010672,19709.350290283513,39982.49202803048,5991535.143950463
1.8440677966101697,0.25286362650330285,0.1322446601640312,0.8309177056955983,0.5611839384003064,21366.143838232936,37992.410367271455,5693313.507304861
1.927118644067797,0.26707614103414656,0.1265003336923662,0.7948250380091901,0.6475480592077589,22567.054518698147,36342.12968051723,5446012.395479749
2.010169491525424,0.27518317990869867,0.12200574223408545,0.7665846869967455,0.7215965074916327,23252.072609639603,35050.88387214636,5252514.0853967015
2.093220338983051,0.27848590482463625,0.11824887646529957,0.7429796031972642,0.7845872990193727,23531.141990190135,33971.57839542293,5090775.875324327
2.1762711864406783,0.2769653583417673,0.11490623135483201,0.7219771445520587,0.8348626179508424,23402.660819074474,33011.27387657493,4946870.4311729595
2.2593220338983055,0.27106323329460386,0.11165600435751183,0.7015553660374981,0.872944838297312,22903.950686451728,32077.520047000202,4806943.713204177
2.3423728813559324,0.26089129973081315,0.10799037799638371,0.6785235563436478,0.9006388941958213,22044.455793325757,31024.426630658647,4649133.484430798
2.4254237288135596,0.24655735329901113,0.10365549314342258,0.6512866715272071,0.9181917600165543,20833.28451706706,29779.062742057853,4462510.762157075
2.508474576271187,0.22949115350283347,0.09859350804818975,0.6194812811516781,0.9292818710692476,19391.24682797938,28324.81109384344,4244585.379909365
2.591525423728814,0.2108990674646733,0.09308097159235287,0.584844993087072,0.9345216281846983,17820.276775713108,26741.1210837143,4007263.1453132895
2.674576271186441,0.19153096304840644,0.08702813353203381,0.5468138899197379,0.936816306992395,16183.735725684044,25002.20847137105,3746680.187607476
2.757627118644068,0.16959720400663425,0.07987845249840246,0.5018911190982048,0.931847229843876,14330.405307702693,22948.185152108887,3438876.63961389
2.8406779661016954,0.14462252349274476,0.07138337169822155,0.44851495223120474,0.9159694985510503,12220.127038136287,20507.643541859543,3073151.791402054
2.9237288135593222,0.1168727871833813,0.06152689847584678,0.38658490449977057,0.8839050139611474,9875.365691248182,17675.989129696474,2648817.1372713633
3.0067796610169495,0.0882446407276392,0.05098373909871092,0.3203402804100979,0.8282823208930724,7456.38157932256,14647.057472820103,2194919.704913322
3.0898305084745767,0.05920168343802634,0.040109014432646764,0.2520123701686601,0.7258499553710237,5002.347317777953,11522.870820355387,1726747.9333444007
3.172881355932204,0.028199594093103166,0.028537945700909357,0.1793092011250425,0.4989926104264313,2382.7728483723067,8198.632313493998,1228597.5972730515
3.255932203389831,-0.0012531965926647708,0.017552205432251312,0.11028375928051916,-0.036998404568861984,-105.89098569346493,5042.552121239582,755646.4521628063
3.338983050847458,-0.02921459030262739,0.007756730994817163,0.048736978218379697,-2.0014991783207936,-2468.536686010191,2228.4219770998448,333937.87915932946
3.4220338983050853,-0.06112379939874415,-0.0013966754398632589,-0.008775570602647415,,-5164.759787528416,-401.2492178917237,-60128.7880904337
3.505084745762712,-0.09931419263079155,-0.010157571175672538,-0.06382190196761657,,-8391.722266546505,-2918.156483310936,-437297.33286876447
3.5881355932203394,-0.14309897717261608,-0.01702903629351437,-0.10699659063483741,,-12091.39239064971,-4892.251484633674,-733123.3051375761
3.6711864406779666,-0.19302823956126228,-0.02211362815673896,-0.138944023522855,,-16310.250660954373,-6352.997804206124,-952021.9396693804
3.754237288135594,-0.2513882661536105,-0.025361997553439326,-0.15935413038849458,,-21241.480746586807,-7286.217965918886,-1091868.685390612
3.8372881355932207,-0.31882712161288285,-0.026386724274886166,-0.16579267826856367,,-26939.84197771387,-7580.610481028588,-1135984.5723933321
3.920338983050848,-0.39560056425070406,-0.02484090066624888,-0.15607998208328255,,-33426.94508953524,-7136.512663983134,-1069434.7516289311
4.003389830508475,-0.4825012187284325,-0.020442381990005795,-0.128443274163357,,-40769.76425606916,-5872.867490343172,-880072.5062231343
4.0864406779661016,-0.5794475530493353,-0.01277792749984825,-0.0802860863232525,,-48961.410292051216,-3670.955519983389,-550107.2568072958
4.169491525423729,-0.6895728304496358,-0.002252298921818175,-0.014151611492944381,,-58266.6336240807,-647.06026543031,-96964.54932978301
4.252542372881356,-0.8124348810914379,0.010909079990900766,0.0685437711136745,-50.404488998985194,-68648.07235678319,3134.056552677506,469650.8152951291
4.335593220338983,-0.9493341875301617,0.02675817372315613,0.16812656398429346,-24.481121660681175,-80215.61298400699,7687.323749086932,1151975.9792183277
4.418644067796611,-1.1017347817205285,0.04544758824956615,0.28555561873642166,-17.048075884747732,-93092.96138532406,13056.583311860113,1956580.8383850388
4.501694915254237,-1.266350632620287,0.0662350109344293,0.4161668475240854,-13.698169947248877,-107002.45875754261,19028.57713105595,2851507.818476264
4.584745762711864,-1.4448372406166066,0.08928778659522835,0.5610117088457252,-11.807617046629069,-122083.98943233046,25651.381499288123,3843961.342782672
4.667796610169492,-1.6123723723780936,0.1116726898510454,0.7016602040853114,-10.72631203864361,-136240.15642508093,32082.313602495917,4807662.046523593
4.750847457627119,-1.772268133331756,0.13290154585613628,0.8350450402247295,-10.083019657486716,-149750.8217386429,38181.12627268412,5721593.334853122
4.8338983050847455,-1.9275409655577287,0.15351665998503633,0.9645736224252646,-9.659746845412874,-162870.8647965819,44103.61777277066,6609102.19592259
4.916949152542373,-2.0767001567578265,0.17274885894194464,1.0854130923360654,-9.407504984004259,-175474.3253181534,49628.81322587679,7437074.667255097
5.0,-2.2212972360981107,0.19059981483977592,1.1975739561524297,-9.274154738779988,-187692.30240918646,54757.193011323376,8205582.735598779
